切	母	呼	紐	韻	聲	調	組	音	等	水	攝	轉	尾	舒	仄	Unnamed: 3	ini	niu	rime	tone	coda
見魂平	見母			魂韻	平聲	牙	見	全清	一	元	臻	外	ㄣ尾	1	0		k		o		n
明一東入	明母			一東韻	入聲	唇	幫	次濁	一	東	通	内	ㄥ尾	0	1		m		o		ng
明模平	明母			模韻	平聲	唇	幫	次濁	一	虞	遇	内	ㄡ尾	1	0		m		o		
明虞去	明母			虞韻	去聲	唇	幫	次濁	三	虞	遇	内	ㄡ尾	1	1		m		uo	̃	
曉開齊平	曉母	開		齊韻	平聲	喉	影	全清	四	齊	蟹	外	ㄟ尾	1	0		h		e		
來鹽平	來母			鹽韻	平聲	舌		次濁	三	鹽	咸	外	ㄇ尾	1	0		l		e		m
幫齊平	幫母			齊韻	平聲	唇	幫	全清	四	齊	蟹	外	ㄟ尾	1	0		p		e		
心合仙入	心母	合		仙韻	入聲	齒	精	全清	三	先	山	外	ㄣ尾	0	1		s		e		n
生開祭去	生母	開		祭韻	去聲	齒	莊	全清	三	齊	蟹	外	ㄟ尾	1	1		s		e	̃	
並鍾去	並母			鍾韻	去聲	唇	幫	全濁	三	冬	通	内	ㄥ尾	1	1		b		u	̃	ng
清豪平	清母			豪韻	平聲	齒	精	次清	一	豪	效	外	ㄡ尾	1	0		ch		a		
精豪平	精母			豪韻	平聲	齒	精	全清	一	豪	效	外	ㄡ尾	1	0		c		a		
知開二庚去	知母	開		二庚韻	去聲	舌	知	全清	二	庚	梗	外	ㄥ尾	1	1		t		a	̃	ng
清鹽平	清母			鹽韻	平聲	齒	精	次清	三	鹽	咸	外	ㄇ尾	1	0		ch		e		m
精鹽平	精母			鹽韻	平聲	齒	精	全清	三	鹽	咸	外	ㄇ尾	1	0		c		e		m
澄開二庚入	澄母	開		二庚韻	入聲	舌	知	全濁	二	庚	梗	外	ㄥ尾	0	1		d		a		ng
匣合刪平	匣母	合		刪韻	平聲	喉	影	全濁	二	刪	山	外	ㄣ尾	1	0		g		a		n
幫魂上	幫母			魂韻	上聲	唇	幫	全清	一	元	臻	外	ㄣ尾	1	1		p		o	̇	n
清開支去	清母	開		支韻	去聲	齒	精	次清	三	支	止	内	ㄟ尾	1	1		ch		e	̃	
端開寒去	端母	開		寒韻	去聲	舌	端	全清	一	寒	山	外	ㄣ尾	1	1		t		a	̃	n
以開脂去	以母	開		脂韻	去聲	喉		次濁	三	支	止	内	ㄟ尾	1	1		y		i	̃	
昌開支上	昌母	開		支韻	上聲	齒	章	次清	三	支	止	内	ㄟ尾	1	1		th		e	̇	
疑嚴上	疑母			嚴韻	上聲	牙	見	次濁	三	鹽	咸	外	ㄇ尾	1	1		ng		am	̇	m
來一東去	來母			一東韻	去聲	舌		次濁	一	東	通	内	ㄥ尾	1	1		l		o	̃	ng
定灰平	定母			灰韻	平聲	舌	端	全濁	一	灰	蟹	外	ㄟ尾	1	0		d		uoi		
影開佳上	影母	開		佳韻	上聲	喉	影	全清	二	佳	蟹	外	ㄟ尾	1	1		v		e	̇	
崇開二麻平	崇母	開		二麻韻	平聲	齒	莊	全濁	二	麻	假	外		1	0		z		a		
章開陽去	章母	開		陽韻	去聲	齒	章	全清	三	陽	宕	内	ㄥ尾	1	1		t		a	̃	ng
精一東上	精母			一東韻	上聲	齒	精	全清	一	東	通	内	ㄥ尾	1	1		c		o	̇	ng
滂寒平	滂母			寒韻	平聲	唇	幫	次清	一	寒	山	外	ㄣ尾	1	0		ph		a		n
來模平	來母			模韻	平聲	舌		次濁	一	虞	遇	内	ㄡ尾	1	0		l		o		
心模平	心母			模韻	平聲	齒	精	全清	一	虞	遇	内	ㄡ尾	1	0		s		o		
徹開仙上	徹母	開		仙韻	上聲	舌	知	次清	三	先	山	外	ㄣ尾	1	1		th		e	̇	n
徹開仙平	徹母	開		仙韻	平聲	舌	知	次清	三	先	山	外	ㄣ尾	1	0		th		e		n
精開陽上	精母	開		陽韻	上聲	齒	精	全清	三	陽	宕	内	ㄥ尾	1	1		c		a	̇	ng
見幽平	見母			幽韻	平聲	牙	見	全清	三	尤	流	内	ㄡ尾	1	0		k		iu		
匣開寒去	匣母	開		寒韻	去聲	喉	影	全濁	一	寒	山	外	ㄣ尾	1	1		g		a	̃	n
影模平	影母			模韻	平聲	喉	影	全清	一	虞	遇	内	ㄡ尾	1	0		v		o		
溪模平	溪母			模韻	平聲	牙	見	次清	一	虞	遇	内	ㄡ尾	1	0		kh		o		
端魂平	端母			魂韻	平聲	舌	端	全清	一	元	臻	外	ㄣ尾	1	0		t		o		n
並B支去	並母		B紐	支韻	去聲	唇	幫	全濁	三	支	止	内	ㄟ尾	1	1		b	l	e	̃	
曉嚴入	曉母			嚴韻	入聲	喉	影	全清	三	鹽	咸	外	ㄇ尾	0	1		h		am		m
並B眞入	並母		B紐	眞韻	入聲	唇	幫	全濁	三	真	臻	外	ㄣ尾	0	1		b	l	i		n
孃合支去	孃母	合		支韻	去聲	舌	知	次濁	三	支	止	内	ㄟ尾	1	1		n		e	̃	
見合先去	見母	合		先韻	去聲	牙	見	全清	四	先	山	外	ㄣ尾	1	1		k		e	̃	n
並B脂去	並母		B紐	脂韻	去聲	唇	幫	全濁	三	支	止	内	ㄟ尾	1	1		b	l	i	̃	
疑開耕入	疑母	開		耕韻	入聲	牙	見	次濁	二	庚	梗	外	ㄥ尾	0	1		ng		e		ng
定開齊去	定母	開		齊韻	去聲	舌	端	全濁	四	齊	蟹	外	ㄟ尾	1	1		d		e	̃	
心開脂去	心母	開		脂韻	去聲	齒	精	全清	三	支	止	内	ㄟ尾	1	1		s		i	̃	
生銜去	生母			銜韻	去聲	齒	莊	全清	二	咸	咸	外	ㄇ尾	1	1		s		a	̃	m
定開青入	定母	開		青韻	入聲	舌	端	全濁	四	青	梗	外	ㄥ尾	0	1		d		e		ng
心三東平	心母			三東韻	平聲	齒	精	全清	三	東	通	内	ㄥ尾	1	0		s		uo		ng
曉開A眞入	曉母	開	A紐	眞韻	入聲	喉	影	全清	三	真	臻	外	ㄣ尾	0	1		h	y	i		n
從開仙上	從母	開		仙韻	上聲	齒	精	全濁	三	先	山	外	ㄣ尾	1	1		z		e	̇	n
澄之上	澄母			之韻	上聲	舌	知	全濁	三	支	止	内	ㄟ尾	1	1		d		y	̇	
章鍾上	章母			鍾韻	上聲	齒	章	全清	三	冬	通	内	ㄥ尾	1	1		t		u	̇	ng
崇開耕入	崇母	開		耕韻	入聲	齒	莊	全濁	二	庚	梗	外	ㄥ尾	0	1		z		e		ng
知開山平	知母	開		山韻	平聲	舌	知	全清	二	刪	山	外	ㄣ尾	1	0		t		e		n
疑開廢去	疑母	開		廢韻	去聲	牙	見	次濁	三	灰	蟹	外	ㄟ尾	1	1		ng		uoi	̃	
章開陽入	章母	開		陽韻	入聲	齒	章	全清	三	陽	宕	内	ㄥ尾	0	1		t		a		ng
端蕭上	端母			蕭韻	上聲	舌	端	全清	四	蕭	效	外	ㄡ尾	1	1		t		e	̇	
端開青入	端母	開		青韻	入聲	舌	端	全清	四	青	梗	外	ㄥ尾	0	1		t		e		ng
幫寒入	幫母			寒韻	入聲	唇	幫	全清	一	寒	山	外	ㄣ尾	0	1		p		a		n
幫泰去	幫母			泰韻	去聲	唇	幫	全清	一	齊	蟹	外	ㄟ尾	1	1		p		a	̃	
滂元入	滂母			元韻	入聲	唇	幫	次清	三	元	山	外	ㄣ尾	0	1		ph		a		n
滂廢去	滂母			廢韻	去聲	唇	幫	次清	三	灰	蟹	外	ㄟ尾	1	1		ph		uoi	̃	
滂泰去	滂母			泰韻	去聲	唇	幫	次清	一	齊	蟹	外	ㄟ尾	1	1		ph		a	̃	
影咍去	影母			咍韻	去聲	喉	影	全清	一	灰	蟹	外	ㄟ尾	1	1		v		vi	̃	
滂元去	滂母			元韻	去聲	唇	幫	次清	三	元	山	外	ㄣ尾	1	1		ph		a	̃	n
影豪上	影母			豪韻	上聲	喉	影	全清	一	豪	效	外	ㄡ尾	1	1		v		a	̇	
溪開二麻平	溪母	開		二麻韻	平聲	牙	見	次清	二	麻	假	外		1	0		kh		a		
匣肴去	匣母			肴韻	去聲	喉	影	全濁	二	肴	效	外	ㄡ尾	1	1		g		a	̃	
匣肴平	匣母			肴韻	平聲	喉	影	全濁	二	肴	效	外	ㄡ尾	1	0		g		a		
溪肴平	溪母			肴韻	平聲	牙	見	次清	二	肴	效	外	ㄡ尾	1	0		kh		a		
見開一歌平	見母	開		一歌韻	平聲	牙	見	全清	一	歌	果	内		1	0		k		a		
徹合眞入	徹母	合		眞韻	入聲	舌	知	次清	三	真	臻	外	ㄣ尾	0	1		th		i		n
曉合A眞入	曉母	合	A紐	眞韻	入聲	喉	影	全清	三	真	臻	外	ㄣ尾	0	1		h	y	i		n
昌三東平	昌母			三東韻	平聲	齒	章	次清	三	東	通	内	ㄥ尾	1	0		th		uo		ng
定開唐入	定母	開		唐韻	入聲	舌	端	全濁	一	陽	宕	内	ㄥ尾	0	1		d		a		ng
來開仙入	來母	開		仙韻	入聲	舌		次濁	三	先	山	外	ㄣ尾	0	1		l		e		n
以虞上	以母			虞韻	上聲	喉		次濁	三	虞	遇	内	ㄡ尾	1	1		y		uo	̇	
