切	母	呼	紐	韻	聲	調	組	音	等	水	攝	轉	尾	舒	仄	Unnamed: 3	ini	niu	rime	tone	coda
心開仙入	心母	開		仙韻	入聲	齒	精	全清	三	先	山	外	ㄣ尾	0	1		s		e		n
疑開B眞入	疑母	開	B紐	眞韻	入聲	牙	見	次濁	三	真	臻	外	ㄣ尾	0	1		ng	l	i		n
來開青入	來母	開		青韻	入聲	舌		次濁	四	青	梗	外	ㄥ尾	0	1		l		e		ng
匣合齊平	匣母	合		齊韻	平聲	喉	影	全濁	四	齊	蟹	外	ㄟ尾	1	0		g		e		
見開元上	見母	開		元韻	上聲	牙	見	全清	三	元	山	外	ㄣ尾	1	1		k		a	̇	n
並微去	並母			微韻	去聲	唇	幫	全濁	三	微	止	内	ㄟ尾	1	1		b		ui	̃	
幫二庚平	幫母			二庚韻	平聲	唇	幫	全清	二	庚	梗	外	ㄥ尾	1	0		p		a		ng
溪合皆平	溪母	合		皆韻	平聲	牙	見	次清	二	佳	蟹	外	ㄟ尾	1	0		kh		ei		
曉開刪入	曉母	開		刪韻	入聲	喉	影	全清	二	刪	山	外	ㄣ尾	0	1		h		a		n
幫先入	幫母			先韻	入聲	唇	幫	全清	四	先	山	外	ㄣ尾	0	1		p		e		n
